species,nseqs,RangeSize_km2,RangeSize_percentile
Tamias_townsendii,8,151287.2726,
Macrotarsomys_bastardi,4,152410.8688,
Rhinolophus_creaghi,2,161695.2287,
Galemys_pyrenaicus,134,163331.6007,
Megaerops_wetmorei,2,165912.4156,
Thrichomys_pachyurus,3,166432.4542,
Paruromys_dominator,3,169337.7527,
Neotoma_fuscipes,10,171574.5453,
Hylaeamys_laticeps,2,173883.9674,
Dipodomys_phillipsii,19,176865.569,
Chironax_melanocephalus,2,177749.1916,
Sus_celebensis,3,181244.4025,
Hydropotes_inermis,5,181923.2918,
Cacajao_calvus,11,182017.6536,
Hylopetes_lepidus,2,185192.5751,
Dipodomys_nelsoni,2,192575.9087,
Sorex_ornatus,21,194152.241,
Brachyphylla_nana,6,195038.6858,
Gerbilliscus_afra,2,200439.9689,
Microcavia_niata,2,202933.5926,
Praomys_lukolelae,18,208708.5396,
Rousettus_lanosus,2,209033.1084,
Glirulus_japonicus,66,211088.9671,
Peromyscus_keeni,243,211557.1106,
Kerivoula_whiteheadi,3,214657.2927,
Sciurus_lis,25,214979.7819,
Lepus_coreanus,4,218186.1847,
Praomys_petteri,9,218483.6989,
Thylogale_stigmatica,6,221191.3347,
Acomys_percivali,9,222957.7775,
Thylogale_browni,2,224882.8493,
Microdipodops_megacephalus,162,226038.5605,
Artibeus_hirsutus,2,228806.5285,
Crocidura_rapax,6,230072.5785,
Microperoryctes_longicauda,2,232309.4945,
Episoriculus_leucops,4,236567.9443,
Ctenomys_torquatus,10,241182.3777,
Geomys_pinetis,31,241344.6163,
Myotis_adversus,4,242650.6406,
Talpa_caeca,2,243373.5564,
Aplodontia_rufa,529,245502.7703,
Rhinolophus_philippinensis,2,247488.9854,
Vampyressa_nymphaea,4,248097.0277,
Pteropus_poliocephalus,7,249369.0033,
Mus_cervicolor,3,251376.4371,
Neotetracus_sinensis,2,251889.2388,
Sigmodon_mascotensis,2,252526.3325,
Niviventer_niviventer,5,252938.9737,
Eliurus_myoxinus,7,262765.9403,
Martes_melampus,49,265082.0966,
Euroscaptor_longirostris,5,265930.7242,
Phascogale_tapoatafa,2,272015.467,
Aselliscus_tricuspidatus,2,274647.2468,
Sigmodon_leucotis,2,282568.6928,
Meles_anakuma,3,283546.7052,
Triaenops_rufus,27,284129.0793,
Lepus_brachyurus,147,286651.2009,
Crocidura_dsinezumi,27,286813.7292,
Microtus_californicus,11,287633.6727,
Tamias_umbrinus,9,295472.5959,
