,ranges
Ameerega_andina,101.9429185
Ameerega_bassleri,19698.35013
Ameerega_berohoka,31547.17757
Ameerega_bilinguis,37446.63042
Ameerega_boehmei,1368.715635
Ameerega_boliviana,7290.276669
Ameerega_braccata,277715.508
Ameerega_cainarachi,737.2944025
Ameerega_erythromos,32.56326268
Ameerega_flavopicta,902110.5161
Ameerega_hahneli,3955649.131
Ameerega_ingeri,15.87049975
Ameerega_macero,81524.12174
Ameerega_parvula,193592.0645
Ameerega_petersi,90703.70904
Ameerega_picta,3468044.444
Ameerega_planipaleae,220.929254
Ameerega_pongoensis,10058.54915
Ameerega_pulchripecta,7021.820971
Ameerega_rubriventris,6660.96178
Ameerega_silverstonei,738.787573
Ameerega_simulans,20725.34615
Ameerega_smaragdina,554.0283701
Ameerega_trivittata,4331838.368
Ameerega_yungicola,478.3204291
Amietia_amieti,83.77483898
Amietia_angolensis,4274988.917
Amietia_desaegeri,8744.680582
Amietia_dracomontana,5224.002454
Amietia_fuscigula,223495.5329
Amietia_hymenopus,22311.68029
Amietia_inyangae,661.9196972
Amietia_johnstoni,332.7944026
Amietia_lubrica,748.1815903
Amietia_ruwenzorica,2129.589204
Amietia_tenuoplicata,318.8128264
Amietia_vandijki,2931.14263
Amietia_vertebralis,735.8504675
Amietia_viridireticulata,1914.793962
Amietia_wittei,11183.88433
Amietophrynus_asmarae,180098.9858
Amietophrynus_blanfordii,347749.6075
Amietophrynus_brauni,4459.798879
Amietophrynus_buchneri,24880.41275
Amietophrynus_camerunensis,900341.9892
Amietophrynus_cristiglans,305.7007115
Amietophrynus_danielae,193.7791348
Amietophrynus_djohongensis,30584.15058
Amietophrynus_fuliginatus,459507.391
Amietophrynus_funereus,3239054.745
Amietophrynus_garmani,1754477.805
Amietophrynus_gracilipes,1129890.223
Amietophrynus_gutturalis,5929033.231
Amietophrynus_kassasii,40167.90584
Amietophrynus_kerinyagae,122966.5019
Amietophrynus_kisoloensis,52751.0998
Amietophrynus_langanoensis,12468.32307
Amietophrynus_latifrons,286302.1118
Amietophrynus_lemairii,1959583.709
Amietophrynus_maculatus,8090898.787
Amietophrynus_mauritanicus,777385.5079
Amietophrynus_pantherinus,1672.555176
Amietophrynus_pardalis,27620.34424
Amietophrynus_perreti,17.42319384
Amietophrynus_poweri,1057179.859
Amietophrynus_rangeri,731803.5053
Amietophrynus_reesi,1147.707471
Amietophrynus_regularis,7455260.748
Amietophrynus_steindachneri,1482679.818
Amietophrynus_superciliaris,912049.3939
Amietophrynus_taiensis,8230.087456
Amietophrynus_togoensis,309780.064
Amietophrynus_tuberosus,864061.6969
Amietophrynus_turkanae,89.5541552
Amietophrynus_urunguensis,457.7154132
Amietophrynus_villiersi,888.6318138
Amietophrynus_vittatus,62823.27073
Amietophrynus_xeros,6286629.889
Amolops_aniqiaoensis,52.19266336
Amolops_archotaphus,6358.987589
Amolops_assamensis,1149.625463
Amolops_bellulus,389.3994304
Amolops_caelumnoctis,82.85680535
Amolops_chakrataensis,669.1621003
Amolops_chunganensis,197951.3152
Amolops_compotrix,30.4619711
Amolops_cremnobatus,41820.86383
Amolops_cucae,24.66511062
Amolops_daiyunensis,15892.39197
Amolops_formosus,154219.3955
Amolops_gerbillus,75469.89195
Amolops_granulosus,139496.97
Amolops_hainanensis,12855.37427
Amolops_hongkongensis,298.5201168
Amolops_iriodes,8.951622622
Amolops_jaunsari,572.8800117
Amolops_jinjiangensis,13914.33664
