,ranges
Antechinomys_laniger,2438265.727
Antechinus_adustus,4919.762087
Antechinus_agilis,163711.285
Antechinus_bellus,133794.4547
Antechinus_flavipes,1008912.28
Antechinus_godmani,3599.458649
Antechinus_leo,4393.229436
Antechinus_minimus,76278.50856
Antechinus_stuartii,118344.8648
Antechinus_subtropicus,9617.467368
Antechinus_swainsonii,314350.62
Anthops_ornatus,21294.84852
Antidorcas_marsupialis,1950024.369
Antilocapra_americana,2007661.193
Antilope_cervicapra,1753985.439
Antrozous_pallidus,4366863.432
Aonyx_capensis,11816824.54
Aonyx_cinereus,4792921.697
Aonyx_congicus,2924360.581
Aotus_azarae,3162697.552
Aotus_brumbacki,123963.0522
Aotus_griseimembra,234088.0431
Aotus_jorgehernandezi,1186.239871
Aotus_lemurinus,177189.8532
Aotus_miconax,59473.24871
Aotus_nancymaae,492725.8504
Aotus_nigriceps,1548686.711
Aotus_trivirgatus,752039.6156
Aotus_vociferans,1016994.236
Aotus_zonalis,154691.9394
Aplodontia_rufa,245502.7703
Apodemus_agrarius,11531230.92
Apodemus_alpicola,110807.3461
Apodemus_argenteus,366528.0899
Apodemus_chevrieri,720376.7404
Apodemus_draco,1798329.646
Apodemus_epimelas,174078.4084
Apodemus_flavicollis,6065998.738
Apodemus_gurkha,1635.360487
Apodemus_hyrcanicus,48660.541
Apodemus_latronum,536399.8148
Apodemus_mystacinus,804438.6996
Apodemus_pallipes,783208.2349
Apodemus_peninsulae,8903127.782
Apodemus_ponticus,347729.9152
Apodemus_rusiges,112771.9167
Apodemus_semotus,33914.89286
Apodemus_speciosus,368742.8718
Apodemus_sylvaticus,5220650.038
Apodemus_uralensis,7231624.998
Apodemus_witherbyi,1586928.344
Apomys_abrae,11591.26768
Apomys_camiguinensis,73.71556133
Apomys_datae,11591.26768
Apomys_gracilirostris,571.3395717
Apomys_hylocetes,4399.277527
Apomys_insignis,94959.73541
Apomys_littoralis,7898.75819
Apomys_microdon,61955.62752
Apomys_musculus,47773.84317
Apomys_sacobianus,339.301281
Aproteles_bulmerae,59.77089785
Arabitragus_jayakari,31556.75165
Arborimus_albipes,77765.40591
Arborimus_longicaudus,54107.77736
Arborimus_pomo,22002.93292
Archboldomys_luzonensis,22.2112362
Arctictis_binturong,3154427.312
Arctocebus_aureus,667480.4954
Arctocebus_calabarensis,148435.1077
Arctogalidia_trivirgata,2497479.434
Arctonyx_collaris,5509334.491
Ardops_nichollsi,4742.707844
Arielulus_aureocollaris,2503.209204
Arielulus_circumdatus,170206.2992
Arielulus_cuprosus,106.849485
Arielulus_societatis,12278.02358
Arielulus_torquatus,35902.51859
Ariteus_flavescens,11021.00887
Artibeus_amplus,1641795.473
Artibeus_anderseni,4071846.301
Artibeus_aztecus,590448.541
Artibeus_cinereus,3465947.779
Artibeus_concolor,6437483.761
Artibeus_fimbriatus,1485161.795
Artibeus_fraterculus,302111.0455
Artibeus_gnomus,10007748.65
Artibeus_hirsutus,228806.5285
Artibeus_inopinatus,41413.27425
Artibeus_jamaicensis,1932106.844
Artibeus_lituratus,14234438.81
Artibeus_obscurus,11122497.14
Artibeus_planirostris,7905276.604
Artibeus_rosenbergii,113667.1252
Artibeus_toltecus,849474.3835
Artibeus_watsoni,554686.608
Arvicanthis_abyssinicus,296087.4951
Arvicanthis_ansorgei,645190.3221
Arvicanthis_blicki,17893.74379
Arvicanthis_nairobae,151138.7744
Arvicanthis_neumanni,1218458.954
Arvicanthis_niloticus,6182773.194
Arvicanthis_rufinus,1154211.393
Arvicola_amphibius,15744497.45
Arvicola_sapidus,882585.1933
Arvicola_scherman,831113.2247
Asellia_patrizii,227340.376
Asellia_tridens,16920012.38
Aselliscus_stoliczkanus,1362301.349
Aselliscus_tricuspidatus,274647.2468
Atelerix_albiventris,7028223.842
Atelerix_algirus,734622.8737
Atelerix_frontalis,1047861.41
Atelerix_sclateri,309001.7668
Ateles_belzebuth,1153230.381
Ateles_chamek,2437427.122
Ateles_fusciceps,215775.1192
Ateles_geoffroyi,901716.3164
Ateles_hybridus,165891.13
Ateles_marginatus,524096.1169
Ateles_paniscus,1061273.593
Atelocynus_microtis,2852865.488
Atherurus_africanus,3544208.866
Atherurus_macrourus,2671819.174
Atilax_paludinosus,14049136.19
Atlantoxerus_getulus,302110.0722
Auliscomys_boliviensis,210617.1155
Auliscomys_pictus,309575.4789
Auliscomys_sublimis,393458.6886
Avahi_betsileo,970.9942407
